#,Level,Component,Part Number,Qty,Status,Fastener,F.Qty,Loctite,Torque
1,L1,Compressor,,1,NOT_STARTED,,,,
2,L2,  CE BLDC Panel Assy,NXMA-0700073-0-0,1,NOT_STARTED,,,,
3,L3,    CE BLDC Panel,NXMP-0700157-0-0,1,NOT_STARTED,,,,
4,L4,      Cable Clamp,LWS-Z2182,1,NOT_STARTED,,,,
5,L4,      BLDC Controller,DC48V1500W,1,NOT_STARTED,SCB6-10,2,LT-243,
6,L5,        M5x10 Screw,SCB5-10,1,NOT_STARTED,,,,
7,L2,  CE Pneumatic FRL Unit,,1,NOT_STARTED,,,,
8,L3,    Air Filter,AFG40-03C-D,1,NOT_STARTED,,,,
9,L3,    Micro Mist Separator,E400L-03-D,1,NOT_STARTED,,,,
10,L3,    FRL Spacer Bracket,Y400T-D,1,NOT_STARTED,,,,
11,L3,    Push-to-Connect Fitting,PC16-03,1,NOT_STARTED,,,,
12,L2,  CE BLDC,NXMA-0700073-0-0,1,NOT_STARTED,,,,
13,L3,    CE BLDC Panel,NXMP-0700157-0-0,1,NOT_STARTED,,,,
14,L4,      BLDC Controller,DC48V1500W,1,NOT_STARTED,SCB6-10,2,LT-243,
15,L4,      Cable Clamp,LWS-Z2182,1,NOT_STARTED,,,,
16,L2,  BB-2812 Connector Panel,BB-2812,1,NOT_STARTED,,,,
17,L3,    Connector Plate,BB-2812,1,NOT_STARTED,CBE4-8,1,LT-No,
18,L3,    Short Head Screw Bin,CBSTBR4-8,1,NOT_STARTED,,,,
19,L2,  CE Air Tank,NXMA-0700065-0-0,1,NOT_STARTED,,,,
20,L3,    Air Tank,VBAT38A1-RV,1,NOT_STARTED,,,,
21,L4,      R1/2 to Rc3/8 Elbow,SXL-83B48,1,NOT_STARTED,,,,
22,L4,      R1/2 to Rc3/4 Adapter,SFB-2015,1,NOT_STARTED,,,,
23,L4,      R1/2 to 12mm Tube Fitting,KPMCLN12-4,1,NOT_STARTED,,,,
24,L5,        12mm Air Tube PU (6),TU1208BU-20,1,NOT_STARTED,,,,
25,L4,      R1/8 to 10mm Elbow,PL10-01,1,NOT_STARTED,,,,
26,L5,        10mm Air Tube PU,TS1075W-20,1,NOT_STARTED,,,,
27,L3,    12mm Y Fitting,PY12,1,NOT_STARTED,,,,
28,L4,      12mm Branch to 8mm,PEG12-8,1,NOT_STARTED,,,,
29,L5,        8mm Tubing,TU0805BU-20,1,NOT_STARTED,,,,
30,L4,      12mm Air Tube PU (10),TU1208BU-20,1,NOT_STARTED,,,,
31,L3,    6mm Tubing (11),TU0604BU-20,1,NOT_STARTED,,,,
32,L3,    8mm to 6mm T-Fitting,PEG6-8,1,NOT_STARTED,,,,
33,L4,      6mm Tubing (14),TU0604BU-20,1,NOT_STARTED,,,,
34,L2,  CE Side Cover,NXMA-0700080-0-0,1,NOT_STARTED,,,,
35,L3,    CE Side Panel Assembly,NXMP-0700030-0-0,1,NOT_STARTED,,,,
36,L4,      CE Side Panel W/ Hinge,NXMP-0700054-0-0,1,NOT_STARTED,CBSTBR4-8,1,LT-No,
37,L5,        M4 Lock Nut,UNUTSZ4,1,NOT_STARTED,,,,
38,L3,    Magnet Catch,MGCM2,1,NOT_STARTED,HFBCM3-6,2,LT-No,
39,L2,  Drain Sub Assem,NXMA-0700075-0-0,1,NOT_STARTED,,,,
40,L3,    Auto Drain,DT3010-10-W-BW,1,NOT_STARTED,,,,
41,L4,      Auto Drain Bracket,B320,1,NOT_STARTED,,,,
42,L4,      R3/8 to 10mm Elbow,PL10-03,1,NOT_STARTED,,,,
43,L5,        10mm Air Tube PU,TU1065BU-20,1,NOT_STARTED,,,,
