child,parent,child_pn,fastener,qty,loctite,torque
CE Air Tank,,NXMA-0700065-0-0,,,,
Air Tank,CE Air Tank,VBAT38A1-RV,,1,,
R1/2 to Rc3/8 Elbow,Air Tank,SXL-83B48,,1,,
R1/2 to Rc3/4 Adapter,Air Tank,SFB-2015,,1,,
R1/2 to 12mm Tube Fitting,Air Tank,KPMCLN12-4,,1,,
R1/8 to 10mm Elbow,Air Tank,PL10-01,,1,,
12mm Air Tube PU (6),R1/2 to 12mm Tube Fitting,TU1208BU-20,,1,,
10mm Air Tube PU,R1/8 to 10mm Elbow,TS1075W-20,,1,,
12mm Y Fitting,CE Air Tank,PY12,,1,,
12mm Branch to 8mm,12mm Y Fitting,PEG12-8,,1,,
12mm Air Tube PU (10),12mm Y Fitting,TU1208BU-20,,1,,
6mm Tubing (11),CE Air Tank,TU0604BU-20,,1,,
8mm Tubing,12mm Branch to 8mm,TU0805BU-20,,1,,
8mm to 6mm T-Fitting,CE Air Tank,PEG6-8,,1,,
6mm Tubing (14),8mm to 6mm T-Fitting,TU0604BU-20,,1,,
