seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L1,Compressor,,,1,NOT_STARTED,,,,
1,L2,External brackets,Compressor,,1,NOT_STARTED,,,,
1b,L3,Connector bracket,External brackets,,1,NOT_STARTED,CBE 4-8,4,,
1a,L3,Connector plate,External brackets,,1,NOT_STARTED,CBE 4-8,4,,
2,L3,Water tank bracket,External brackets,,1,NOT_STARTED,CBSTBR 4-8,4,,
2,L2,Brackets on back,Compressor,,1,NOT_STARTED,,,,
3,L2,Water Tank assy,Compressor,NXMA-0700059-0-0,1,NOT_STARTED,,,,
1,L3,Water tank machining,Water Tank assy,,1,NOT_STARTED,,,,
1,L4,10L Water Tank,Water tank machining,10L-T0192,1,NOT_STARTED,,,,
2,L4,Drill 10 mm hole for PM8,Water tank machining,,1,NOT_STARTED,,,,
3,L4,Drill 20 mm hole for PML 10,Water tank machining,,1,NOT_STARTED,,,,
2,L3,Water tank connectors mounting,Water Tank assy,,1,NOT_STARTED,,,,
,L4,10mm Bulkhead Elbow,Water tank connectors mounting,PML10,1,NOT_STARTED,,,,
,L4,8mm Bulkhead,Water tank connectors mounting,PM8,1,NOT_STARTED,,,,
,L5,8mm Silencer,8mm Bulkhead,AN15-C08,1,NOT_STARTED,,,,
3,L3,Quick Release Body,Water Tank assy,TS-3NR,1,NOT_STARTED,,,,
4,L3,Rc3/8 to 10mm Tube Fitting,Water Tank assy,PCF10-03,1,NOT_STARTED,,,,
5,L3,Quick Release Nozzle,Water Tank assy,JS-03,1,NOT_STARTED,,,,
6,L3,Rc3/8 to 10mm Elbow,Water Tank assy,PLF10-03,1,NOT_STARTED,,,,
7,L3,10mm Air Tube PU,Water Tank assy,TS1075W-20,1,NOT_STARTED,,,,
4,L2,CE Side Cover,Compressor,NXMA-0700080-0-0,1,NOT_STARTED,CBE 4-8,6,,
,L3,CE Side Panel Assembly,CE Side Cover,NXMP-0700030-0-0,1,NOT_STARTED,,,,
,L4,Magnet Catch,CE Side Panel Assembly,MGCM2,1,NOT_STARTED,,,,
,L3,CE Side Panel W/ Hinge,CE Side Cover,NXMP-0700054-0-0,1,NOT_STARTED,"CBSTBR4-8, UNUTSZ4",4,,
,L4,3mm cousion,CE Side Panel W/ Hinge,,1,NOT_STARTED,,,,
5,L2,Water drain assemblies,Compressor,,1,NOT_STARTED,,,,
1,L3,Water filter assy 1,Water drain assemblies,,1,NOT_STARTED,CBE8-20,2,,
2,L3,Pneumatic FRL Unit,Water drain assemblies,,1,NOT_STARTED,CBE8-20,2,,
,L4,Air Filter,Pneumatic FRL Unit,AFG40-03C-D,1,NOT_STARTED,,,,
,L4,Micro Mist Separator,Pneumatic FRL Unit,E400L-03-D,1,NOT_STARTED,,,,
,L4,FRL Spacer Bracket,Pneumatic FRL Unit,Y400T-D,1,NOT_STARTED,,,,
,L4,Push-to-Connect Fitting,Pneumatic FRL Unit,PC16-03,1,NOT_STARTED,,,,
3,L3,Drain Sub Assem,Water drain assemblies,NXMA-0700075-0-0,1,NOT_STARTED,CBE6-12,2,,
,L4,Auto Drain,Drain Sub Assem,DT3010-10-W-BW,1,NOT_STARTED,Nut on the top,1,,
,L4,Auto Drain Bracket,Drain Sub Assem,B320,1,NOT_STARTED,,,,
,L4,R3/8 to 10mm Elbow,Drain Sub Assem,PL10-03,1,NOT_STARTED,,,,
6,L2,Pressure sensor assy,Compressor,,1,NOT_STARTED,,,,
7,L2,Meter Panel assy,Compressor,NXMA-0700064-0-0,1,NOT_STARTED,,,,
1,L3,Ball valve assy,Meter Panel assy,,1,NOT_STARTED,,,,
1,L4,Ball Valve,Ball valve assy,FF-08C,1,NOT_STARTED,,,,
2,L4,R1/4 to 12mm Elbow,Ball valve assy,PL12-02,1,NOT_STARTED,,,,
3,L4,R1/4 to 8mm Elbow,Ball valve assy,PL8-02,1,NOT_STARTED,,,,
2,L3,Port valve assy,Meter Panel assy,,1,NOT_STARTED,,,,
1,L4,3 Port Valve,Port valve assy,T-10,1,NOT_STARTED,,,,
2,L4,R3/8 to 8mm Elbow,Port valve assy,PL8-03,1,NOT_STARTED,,,,
3,L4,R3/8 to 12mm Elbow,Port valve assy,PL12-03,1,NOT_STARTED,,,,
3,L3,8mm T-Fitting,Meter Panel assy,PE8,1,NOT_STARTED,,,,
4,L3,CE 3 Way Valve Bracket,Meter Panel assy,NXMP-0700160-0-0,1,NOT_STARTED,,,,
5,L3,CE Ball Valve Bracket,Meter Panel assy,NXMP-0700166-0-0,1,NOT_STARTED,,,,
,L4,3mm foam,CE Ball Valve Bracket,,1,NOT_STARTED,,,,
6,L3,CE Meter Panel Plate,Meter Panel assy,NXMP-0700172-0-0,1,NOT_STARTED,,,,
,L4,Pressure Gauge,CE Meter Panel Plate,G46-15-02-C,2,NOT_STARTED,,,,
,L5,6mm to Rc1/4 Elbow,Pressure Gauge,PLF6-02,2,NOT_STARTED,,,,
,L4,Pressure Sensor,CE Meter Panel Plate,ISE20A-R-M-M5-JB,1,NOT_STARTED,,,,
,L5,6mm Elbow,Pressure Sensor,PLJ6,1,NOT_STARTED,,,,
,L3,Label,Meter Panel assy,,1,NOT_STARTED,,,,
20,L2,Compressor assembly mountings,Compressor,,1,NOT_STARTED,,,,
3,L3,Left leg support,Compressor assembly mountings,,1,NOT_STARTED,CBE5-10,1,,
1,L4,Cable tie holders,Left leg support,,1,NOT_STARTED,Xxx,3,,
2,L4,Cable ties,Left leg support,,1,NOT_STARTED,,,,
,L2,CE BLDC Panel Assy,Compressor,NXMA-0700073-0-0,1,NOT_STARTED,,,,
,L3,CE BLDC Panel,CE BLDC Panel Assy,NXMP-0700157-0-0,1,NOT_STARTED,,,,
,L4,Cable Clamp,CE BLDC Panel,LWS-Z2182,1,NOT_STARTED,,,,
,L4,BLDC Controller,CE BLDC Panel,DC48V1500W,1,NOT_STARTED,SCB6-10,2,LT-243,
,L5,M5x10 Screw,BLDC Controller,SCB5-10,1,NOT_STARTED,,,,
,L2,CE BLDC,Compressor,NXMA-0700073-0-0,1,NOT_STARTED,,,,
,L3,CE BLDC Panel,CE BLDC,NXMP-0700157-0-0,1,NOT_STARTED,,,,
,L4,BLDC Controller,CE BLDC Panel,DC48V1500W,1,NOT_STARTED,SCB6-10,2,LT-243,
,L4,Cable Clamp,CE BLDC Panel,LWS-Z2182,1,NOT_STARTED,,,,
,L2,CE Air Tank,Compressor,NXMA-0700065-0-0,1,NOT_STARTED,,,,
,L3,Air Tank,CE Air Tank,VBAT38A1-RV,1,NOT_STARTED,,,,
,L4,R1/2 to Rc3/8 Elbow,Air Tank,SXL-83B48,1,NOT_STARTED,,,,
,L4,R1/2 to Rc3/4 Adapter,Air Tank,SFB-2015,1,NOT_STARTED,,,,
,L4,R1/2 to 12mm Tube Fitting,Air Tank,KPMCLN12-4,1,NOT_STARTED,,,,
,L5,12mm Air Tube PU (6),R1/2 to 12mm Tube Fitting,TU1208BU-20,1,NOT_STARTED,,,,
,L4,R1/8 to 10mm Elbow,Air Tank,PL10-01,1,NOT_STARTED,,,,
,L5,10mm Air Tube PU,R1/8 to 10mm Elbow,TS1075W-20,1,NOT_STARTED,,,,
,L3,12mm Y Fitting,CE Air Tank,PY12,1,NOT_STARTED,,,,
,L4,12mm Branch to 8mm,12mm Y Fitting,PEG12-8,1,NOT_STARTED,,,,
,L5,8mm Tubing,12mm Branch to 8mm,TU0805BU-20,1,NOT_STARTED,,,,
,L4,12mm Air Tube PU (10),12mm Y Fitting,TU1208BU-20,1,NOT_STARTED,,,,
,L3,6mm Tubing (11),CE Air Tank,TU0604BU-20,1,NOT_STARTED,,,,
,L3,8mm to 6mm T-Fitting,CE Air Tank,PEG6-8,1,NOT_STARTED,,,,
,L4,6mm Tubing (14),8mm to 6mm T-Fitting,TU0604BU-20,1,NOT_STARTED,,,,
,L2,BB-2812 Connector Panel,Compressor,BB-2812,1,NOT_STARTED,,,,
,L3,Connector Plate,BB-2812 Connector Panel,BB-2812,1,NOT_STARTED,CBE4-8,1,LT-No,
,L3,Short Head Screw Bin,BB-2812 Connector Panel,CBSTBR4-8,1,NOT_STARTED,,,,
,L2,CE Pneumatic FRL Unit,Compressor,,1,NOT_STARTED,,,,
,L3,Air Filter,CE Pneumatic FRL Unit,AFG40-03C-D,1,NOT_STARTED,,,,
,L3,Micro Mist Separator,CE Pneumatic FRL Unit,E400L-03-D,1,NOT_STARTED,,,,
,L3,FRL Spacer Bracket,CE Pneumatic FRL Unit,Y400T-D,1,NOT_STARTED,,,,
,L3,Push-to-Connect Fitting,CE Pneumatic FRL Unit,PC16-03,1,NOT_STARTED,,,,
