seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L1,Compressor,,NXMA-0700057-0-0,1,NOT_STARTED,,,,
1,L2,External Brackets,Compressor,,1,NOT_STARTED,,,,
,L3,CE Safety Net Bracket,External Brackets,NXMP-0700149-0-0,2,NOT_STARTED,,,,
,L3,CE Compressor Support R,External Brackets,NXMP-0700151-0-0,1,NOT_STARTED,,,,
,L3,CE Compressor Support L,External Brackets,NXMP-0700162-0-0,1,NOT_STARTED,,,,
2,L2,Hanging Compressor Assy,Compressor,NXMA-0700077-0-0,1,NOT_STARTED,,,,
,L3,CE Hanging Panel W/ Nuts,Hanging Compressor Assy,NXMP-0700055-0-0,1,NOT_STARTED,CBE5-10,6,,
,L3,CE Hanging Bracket W/ Nuts,Hanging Compressor Assy,NXMP-0700056-0-0,1,NOT_STARTED,,,,
,L3,CE Compressor,Hanging Compressor Assy,NXMA-0700027-0-0,1,NOT_STARTED,,,,
,L4,Compressor,CE Compressor,HC1500E,1,NOT_STARTED,,,,
,L4,R1/2 to Rc3/8 Adapter,CE Compressor,PB(1)-15A,1,NOT_STARTED,,,,
,L4,Compressor Filter,CE Compressor,20MM-1/2,2,NOT_STARTED,,,,
,L4,R3/8 Elbow,CE Compressor,SJSML10A,1,NOT_STARTED,,,,
,L4,Vibration Damper,CE Compressor,COMPRESSOR-FOOT,4,NOT_STARTED,,,,
,L3,M8 Nut,Hanging Compressor Assy,NN1-M8-SUS,4,NOT_STARTED,,,,
,L3,1.5M Metal Hose,Hanging Compressor Assy,HOEMF10A-1.5-LB-RB,1,NOT_STARTED,,,,
3,L2,Floor Compressor Assy,Compressor,NXMA-0700079-0-0,1,NOT_STARTED,,,,
,L3,CE Floor Comp Bracket,Floor Compressor Assy,NXMP-0700155-0-0,1,NOT_STARTED,,,,
,L3,CE Compressor (Floor),Floor Compressor Assy,NXMA-0700027-0-0,1,NOT_STARTED,,,,
,L3,M8 Nut,Floor Compressor Assy,NN1-M8-SUS,4,NOT_STARTED,,,,
,L3,1.5M Metal Hose,Floor Compressor Assy,HOEMF10A-1.5-LB-RB,1,NOT_STARTED,,,,
4,L2,Water Tank Assy,Compressor,NXMA-0700059-0-0,1,NOT_STARTED,,,,
1,L3,Water Tank,Water Tank Assy,10L-T0192,1,NOT_STARTED,,,,
2,L3,Rc3/8 to 10mm Elbow,Water Tank Assy,PLF10-03,1,NOT_STARTED,,,,
3,L3,Quick Release Body,Water Tank Assy,TS-3NR,1,NOT_STARTED,,,,
4,L3,Quick Release Nozzle,Water Tank Assy,JS-03,1,NOT_STARTED,,,,
5,L3,Rc3/8 to 10mm Tube Fitting,Water Tank Assy,PCF10-03,1,NOT_STARTED,,,,
6,L3,10mm Air Tube PU,Water Tank Assy,TS1075W-20,1,NOT_STARTED,,,,
7,L3,10mm Bulkhead Elbow,Water Tank Assy,PML10,1,NOT_STARTED,,,,
8,L3,8mm Bulkhead,Water Tank Assy,PM8,1,NOT_STARTED,,,,
,L4,8mm Silencer,8mm Bulkhead,AN15-C08,1,NOT_STARTED,,,,
5,L2,CE Tank Base Assy,Compressor,NXMA-0700066-0-0,1,NOT_STARTED,,,,
,L3,CE Tank Base W/ Nut,CE Tank Base Assy,NXMP-0700057-0-0,1,NOT_STARTED,,,,
,L3,CE Air Tank,CE Tank Base Assy,NXMA-0700004-0-0,1,NOT_STARTED,,,,
,L3,25mm Rubber Grommet,CE Tank Base Assy,C-30-SG-30B-EP-UL,4,NOT_STARTED,,,,
,L3,Cable Clamp,CE Tank Base Assy,LWS-2218Z,3,NOT_STARTED,,,,
,L3,気密パッキンテープ,CE Tank Base Assy,59898694,1,NOT_STARTED,,,,
,L3,Cable Clamp 9-14mm,CE Tank Base Assy,DKS-16GSP,1,NOT_STARTED,,,,
,L3,10mm Air Tube PU,CE Tank Base Assy,TU1065BU-20,1,NOT_STARTED,,,,
,L3,Cable Clamp 5-8mm,CE Tank Base Assy,DKS-10GSP,2,NOT_STARTED,,,,
,L3,6mm Tubing,CE Tank Base Assy,TU0604BU-20,2,NOT_STARTED,,,,
