seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L1,Electric Box,,NXMA-0700051-0-0,1,NOT_STARTED,,,,
1,L2,EE Body,Electric Box,NXMA-0700050-0-0,1,NOT_STARTED,,,,
,L3,EE Body Panel,EE Body,NXMP-0700097-0-0,1,NOT_STARTED,,,,
,L3,EE Cable Guard,EE Body,NXMP-0700102-0-0,1,NOT_STARTED,,,,
,L3,EE Fan Bracket,EE Body,NXMP-0700104-0-0,2,NOT_STARTED,,,,
,L3,CE Panel Mount W/ Connectors,EE Body,NXMA-0700023-0-0,1,NOT_STARTED,,,,
,L3,EE Conn Panel L,EE Body,NXMA-0700022-0-0,1,NOT_STARTED,,,,
,L3,E-Stop Guard,EE Body,HW9Z-KG2,1,NOT_STARTED,,,,
,L3,SW E-Stop Twist Reset 10A 500V,EE Body,3SU11001HB201CG0,1,NOT_STARTED,,,,
,L3,Red Light Button,EE Body,PL2CFM11-R,1,NOT_STARTED,,,,
,L3,Green Light Button,EE Body,PL2CFM11-G,1,NOT_STARTED,,,,
,L3,Push Button Switch (Yellow),EE Body,PB2CGM11-G,1,NOT_STARTED,,,,
,L3,Push Button Switch (Yellow 2),EE Body,PB2CGM11-Y,1,NOT_STARTED,,,,
,L3,120mm Fan,EE Body,MEC0252V1-000U-A99,2,NOT_STARTED,,,,
,L3,Fan Guard,EE Body,109-019E,2,NOT_STARTED,,,,
,L3,LED Tower W/ Buzzer,EE Body,LR6-302WJBA-RYG,1,NOT_STARTED,,,,
,L3,WiFi Antenna (set of 2),EE Body,734914994529,2,NOT_STARTED,,,,
,L3,25mm Rubber Grommet,EE Body,C-30-SG-30B-EP-UL,2,NOT_STARTED,,,,
,L3,Earth Bar,EE Body,EBA-20-5E,1,NOT_STARTED,,,,
,L3,Cable Saddle,EE Body,FS3D16-15,3,NOT_STARTED,,,,
,L3,CBE5-10 M5x10,EE Body,CBE5-10,6,NOT_STARTED,,,,
,L3,CBE4-8 M4x8,EE Body,CBE4-8,4,NOT_STARTED,,,,
,L3,CBE3-35 M3x35,EE Body,CBE3-35,8,NOT_STARTED,,,,
,L3,SEMS M8x10,EE Body,HXPP2-SUS-M8-10,2,NOT_STARTED,,,,
2,L2,EE Inner Panel W/ Components,Electric Box,NXMA-0700054-0-0,1,NOT_STARTED,,,,
,L3,EE Inner Panel Weld,EE Inner Panel W/ Components,NXMP-0700125-0-0,1,NOT_STARTED,,,,
,L3,EE Fan Splitter,EE Inner Panel W/ Components,NXMP-0700109-0-0,1,NOT_STARTED,,,,
,L3,EE DIN Rail 2mm Shim,EE Inner Panel W/ Components,NXMP-0700176-0-0,1,NOT_STARTED,,,,
,L3,Top Rail Sub Assembly,EE Inner Panel W/ Components,,1,NOT_STARTED,,,,
,L3,Bottom Rail Sub Assembly,EE Inner Panel W/ Components,,1,NOT_STARTED,,,,
,L3,Shunt Regulator Sub Assembly,EE Inner Panel W/ Components,,1,NOT_STARTED,,,,
,L3,PDBv4.1,EE Inner Panel W/ Components,PDBv4.1,1,NOT_STARTED,,,,
,L3,CAN Transceiver,EE Inner Panel W/ Components,TX_LOGI_CAN_TRANC,1,NOT_STARTED,,,,
,L3,AGX PC Main PC,EE Inner Panel W/ Components,Forecr-DSBOARD-AGXMAX,1,NOT_STARTED,,,,
,L3,500mm Wire Duct,EE Inner Panel W/ Components,MD-1.5L-R,3,NOT_STARTED,,,,
,L3,490mm Wire Duct x2,EE Inner Panel W/ Components,MD-1.5L-R,2,NOT_STARTED,,,,
,L3,SBD-J3-25 M3x25 Spacer,EE Inner Panel W/ Components,SBD-J3-25,16,NOT_STARTED,,,,
,L3,Heat Sink,EE Inner Panel W/ Components,Y92B-N100,1,NOT_STARTED,,,,
,L3,51V Shunt Regulator,EE Inner Panel W/ Components,SR2K60V25R,2,NOT_STARTED,,,,
,L3,CB3-50 M3x50 Bolt,EE Inner Panel W/ Components,CB3-50,4,NOT_STARTED,,,,
,L3,SP-J3-30 M3x30 Spacer,EE Inner Panel W/ Components,SP-J3-30,4,NOT_STARTED,,,,
,L3,Diode Module GP 600V 160A,EE Inner Panel W/ Components,VS-UFL230FA60,1,NOT_STARTED,,,,
,L3,CBE3-6 M3x6,EE Inner Panel W/ Components,CBE3-6,14,NOT_STARTED,,,,
,L3,CBE4-8 M4x8,EE Inner Panel W/ Components,CBE4-8,28,NOT_STARTED,,,,
3,L2,EE Door,Electric Box,NXMA-0700055-0-0,1,NOT_STARTED,,,,
,L3,EE Door Weld,EE Door,NXMP-0700118-0-0,1,NOT_STARTED,,,,
,L3,EE Breaker Door Weld,EE Door,NXMP-0700117-0-0,1,NOT_STARTED,,,,
,L3,EE Window Support,EE Door,NXMP-0700115-0-0,2,NOT_STARTED,,,,
,L3,EE Window,EE Door,NXMP-0700114-0-0,1,NOT_STARTED,,,,
,L3,120mm Fan Louvered,EE Door,LFG120B,2,NOT_STARTED,,,,
,L3,Minus Stud,EE Door,D8-314-112-190,4,NOT_STARTED,,,,
,L3,Retainer,EE Door,D8-324-100-040,4,NOT_STARTED,,,,
,L3,Recessed Handle,EE Door,AP-268-2-BLACK,2,NOT_STARTED,,,,
,L3,3mm Foam Tape,EE Door,KSNR-10034T,4,NOT_STARTED,,,,
,L3,Magnet Catch,EE Door,MGCE1S,2,NOT_STARTED,,,,
,L3,CBE2-5 M2x5,EE Door,CBE2-5,4,NOT_STARTED,,,,
,L3,CBSTBR3-8 M3x8 Short Bolt,EE Door,CBSTBR3-8,4,NOT_STARTED,,,,
,L3,M3 Lock Nut,EE Door,E-GLNUTS3,4,NOT_STARTED,,,,
,L3,CBSTBR4-8 M4x8 Short Head,EE Door,CBSTBR4-8,4,NOT_STARTED,,,,
4,L2,EE Mounting,Electric Box,,1,NOT_STARTED,,,,
,L3,EE Mount Bracket L Nut,EE Mounting,NXMP-0700121-0-0,1,NOT_STARTED,,,,
,L3,EE Mount Bracket R Nut,EE Mounting,NXMP-0700123-0-0,1,NOT_STARTED,,,,
5,L2,EE Electrical,Electric Box,,1,NOT_STARTED,,,,
,L3,Line Filter 300VDC 277VAC 60A,EE Electrical,NAC-60-224,1,NOT_STARTED,,,,
,L3,Edison Battery Cable,EE Electrical,Battery-Cable,1,NOT_STARTED,,,,
6,L2,EE Main Fasteners,Electric Box,,1,NOT_STARTED,,,,
,L3,M4 Cap Nut,EE Main Fasteners,FNT4,4,NOT_STARTED,,,,
,L3,CBE4-6 M4x6,EE Main Fasteners,CBE4-6,4,NOT_STARTED,,,,
,L3,CBE5-10 M5x10,EE Main Fasteners,CBE5-10,4,NOT_STARTED,,,,
,L3,M5 Washer,EE Main Fasteners,WSJ-ST3W-M5,4,NOT_STARTED,,,,
,L3,CBE6-10 M6x10,EE Main Fasteners,CBE6-10,4,NOT_STARTED,,,,
