seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L1,L1 Top Assembly,,NXMA-0100008-0-2,1,NOT_STARTED,,,,
1,L2,Rail Frame,L1 Top Assembly,,1,NOT_STARTED,,,,
1,L3,L1 Base Welding Spacer Asm,Rail Frame,NXMA-0100008-0-2,1,NOT_STARTED,,,,
2,L3,L1 LM Rail Plate LR,Rail Frame,NXMP-0100008-0-0,4,NOT_STARTED,CBST8-25,48,,
3,L3,L1 LM Rail Plate Center,Rail Frame,NXMP-0100004-0-0,2,NOT_STARTED,CBST8-25,24,,
4,L3,L1 LM Rack Plate LR,Rail Frame,NXMP-0100003-0-0,2,NOT_STARTED,CBST8-25,48,,
5,L3,L1 LM Rack Plate Center,Rail Frame,NXMP-0100007-0-0,2,NOT_STARTED,CBST8-25,76,,
6,L3,L1 LM Rail End,Rail Frame,NXMP-0100029-0-0,4,NOT_STARTED,CBE6-10,4,,
,L4,Track Pin,L1 LM Rail End,MES-15,32,NOT_STARTED,,,,
2,L2,Crosser Assembly,L1 Top Assembly,,1,NOT_STARTED,,,,
1,L3,LM Crosser Left,Crosser Assembly,NXMP-0100006-0-0,1,NOT_STARTED,CBE8-20,13,,
2,L3,LM Crosser Right,Crosser Assembly,NXMP-0100005-0-0,1,NOT_STARTED,CBE8-20,13,,
3,L3,LM Crosser Adjustor Left,Crosser Assembly,NXMP-0100002-0-0,1,NOT_STARTED,CBE8-20,13,,
4,L3,LM Crosser Adjustor Right,Crosser Assembly,NXMP-0100001-0-0,1,NOT_STARTED,CBE8-20,13,,
3,L2,Caster Assembly,L1 Top Assembly,,1,NOT_STARTED,,,,
1,L3,L1 Caster Assy,Caster Assembly,NXMA-0100082-0-0,4,NOT_STARTED,,,,
,L4,Caster Holder,L1 Caster Assy,NXMP-0100093-0-0,1,NOT_STARTED,CSHHNDSP-STU-M8-40,6,,
,L4,Flat Spacer,L1 Caster Assy,WSSB35-20-10,1,NOT_STARTED,,,,
,L4,Caster,L1 Caster Assy,HJTS-SJ-65B-MC,1,NOT_STARTED,,,,
4,L2,Rail Accessories,L1 Top Assembly,,1,NOT_STARTED,,,,
1,L3,Actuator Holder,Rail Accessories,NXMP-0100019-0-0,6,NOT_STARTED,,,,
2,L3,Cable Carrier Fix Plate,Rail Accessories,NXMP-0100086-0-0,1,NOT_STARTED,,,,
3,L3,Caster Sensor Holder,Rail Accessories,NXB-100,6,NOT_STARTED,,,,
5,L2,Guides and Racks,L1 Top Assembly,,1,NOT_STARTED,,,,
1,L3,Lift Guide Rail 8H45,Guides and Racks,HHCTA 8700-3HAR6-11,3,NOT_STARTED,CBST8-25,196,,
2,L3,Internal Rack m2 2500L,Guides and Racks,ZITB2-2500RL_5x,1,NOT_STARTED,CBE6-30,12,,
3,L3,Internal Rack m2 1500L,Guides and Racks,ZITB2-1500RL_5x,1,NOT_STARTED,CBE6-30,12,,
6,L2,Cable Management,L1 Top Assembly,,1,NOT_STARTED,,,,
1,L3,Wire Duct,Cable Management,DDP-381,8,NOT_STARTED,,,,
2,L3,Energy Chain,Cable Management,"E4.380.062.0+E4.380.062.2.12.A",1,NOT_STARTED,,,,
3,L3,Wire Rail,Cable Management,SHH5,1,NOT_STARTED,,,,
7,L2,Remaining Fasteners,L1 Top Assembly,,1,NOT_STARTED,,,,
,L3,Hex Socket Head Cap Screw+SW+FW M8x40,Remaining Fasteners,C30685P-ST0-PN1-60,38,NOT_STARTED,,,,
,L3,CBE5-40 Hex Socket M5x40,Remaining Fasteners,CBE5-40,4,NOT_STARTED,,,,
,L3,CBE5-45 Hex Socket M5x45,Remaining Fasteners,CBE5-45,4,NOT_STARTED,,,,
,L3,CBST5-10 Hex Socket+SW+FW M5x10,Remaining Fasteners,CBST5-10,8,NOT_STARTED,,,,
,L3,CBST8-30 Hex Socket+SW+FW M8x30,Remaining Fasteners,CBST8-30,12,NOT_STARTED,,,,
