seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L1,L2 Next Gen Assy,,NXMA-0200001-0-2,1,NOT_STARTED,,,,
1,L2,L2 Pulley Assy Φ100,L2 Next Gen Assy,NXMA-0200061-0-3,1,NOT_STARTED,,,,
,L3,L2 Pulley Mounting Bracket,L2 Pulley Assy Φ100,NXMP-0200034-0-4,1,NOT_STARTED,,,,
,L3,Stainless Pipe,L2 Pulley Assy Φ100,PSWT15-183-12,2,NOT_STARTED,,,,
,L3,Cantilever Shaft,L2 Pulley Assy Φ100,PLXCA12-22-F10-G5-SET,4,NOT_STARTED,,,,
,L3,L2 CW Pulley,L2 Pulley Assy Φ100,NXMP-0200084-0-0,4,NOT_STARTED,,,,
,L3,Deep Groove Ball Bearing,L2 Pulley Assy Φ100,B6201ZZ,4,NOT_STARTED,,,,
,L3,Retaining Ring Internal C-Type,L2 Pulley Assy Φ100,RTWIN32,4,NOT_STARTED,,,,
,L3,Hex Socket+SW+FW M6x20,L2 Pulley Assy Φ100,CBST6-20,4,NOT_STARTED,,,,
,L3,Hex Socket+SW+FW M5x15,L2 Pulley Assy Φ100,CBST5-15,4,NOT_STARTED,,,,
2,L2,L2 Hold Actuator Assy,L2 Next Gen Assy,NXMA-0200071-0-0,1,NOT_STARTED,,,,
1,L3,L2 ASSY-PILLAR Short,L2 Hold Actuator Assy,NXMA-0200062-0-1,1,NOT_STARTED,,,,
2,L3,L2 Actuator Plate Nuts Assy,L2 Hold Actuator Assy,NXMA-0200070-0-0,1,NOT_STARTED,,,,
,L4,Electric Actuator Belt Drive,L2 Actuator Plate Nuts Assy,TRGS-2090-HV-EH-ON-1-H-N,1,NOT_STARTED,,,,
,L4,L2 Pillar Nut Plate Bottom,L2 Actuator Plate Nuts Assy,NXMP-0200057-0-0,2,NOT_STARTED,MSFS-6,8,,
,L4,L2 Pillar Nut Plate Top,L2 Actuator Plate Nuts Assy,NXMP-0200058-0-0,2,NOT_STARTED,MSFS-6,8,,
,L4,L2 PLATE-NUT-01,L2 Actuator Plate Nuts Assy,NXMP-0200068-0-0,4,NOT_STARTED,,,,
,L4,L2 PLATE-NUT-02,L2 Actuator Plate Nuts Assy,NXMP-0200069-0-0,4,NOT_STARTED,,,,
,L4,Set Screw M8,L2 Actuator Plate Nuts Assy,MSFS-8,8,NOT_STARTED,,,,
3,L3,L2 TH25 Stopper Bracket,L2 Hold Actuator Assy,NXMP-0200023-0-0,1,NOT_STARTED,,,,
4,L3,L2 LM Stopper Bracket,L2 Hold Actuator Assy,NXMP-0200024-0-0,1,NOT_STARTED,,,,
5,L3,L2 LM Width Jig,L2 Hold Actuator Assy,NXMP-0200025-0-0,3,NOT_STARTED,,,,
6,L3,Linear Guide,L2 Hold Actuator Assy,SHS20V2UU-2540L-11,2,NOT_STARTED,CBST6-25,26,,
7,L3,Lifting Eye Bolts,L2 Hold Actuator Assy,OHC12,2,NOT_STARTED,,,,
8,L3,Flat Bar,L2 Hold Actuator Assy,HUMPA-AM-A80-B30-T20,1,NOT_STARTED,,,,
9,L3,Hexagonal Spacer,L2 Hold Actuator Assy,PLSBWK19-60,2,NOT_STARTED,,,,
,L3,CBE4-8,L2 Hold Actuator Assy,CBE4-8,6,NOT_STARTED,,,,
,L3,CBE5-10,L2 Hold Actuator Assy,CBE5-10,2,NOT_STARTED,,,,
,L3,CBE5-15,L2 Hold Actuator Assy,CBE5-15,86,NOT_STARTED,,,,
,L3,CBE5-18,L2 Hold Actuator Assy,CBE5-18,20,NOT_STARTED,,,,
,L3,CBE5-20,L2 Hold Actuator Assy,CBE5-20,4,NOT_STARTED,,,,
,L3,CBE6-15,L2 Hold Actuator Assy,CBE6-15,4,NOT_STARTED,,,,
3,L2,L2 Counter-Weight Assy,L2 Next Gen Assy,NXMA-0200072-0-1,1,NOT_STARTED,,,,
,L3,L2 CounterWeight Holder,L2 Counter-Weight Assy,NXMP-0200029-0-1,1,NOT_STARTED,,,,
,L3,L2 Hanging Support,L2 Counter-Weight Assy,NXMP-0200030-0-1,2,NOT_STARTED,,,,
,L3,L2 Hanging Plate,L2 Counter-Weight Assy,NXMP-0200031-0-0,1,NOT_STARTED,,,,
,L3,L2 CounterWeight Guide,L2 Counter-Weight Assy,NXMP-0200032-0-1,2,NOT_STARTED,,,,
,L3,L2 CounterWeight Plate,L2 Counter-Weight Assy,NXMP-0200033-0-1,25,NOT_STARTED,,,,
,L3,Economy R Type Lock Nuts,L2 Counter-Weight Assy,O-RN50,2,NOT_STARTED,,,,
,L3,Lifting Eye Bolts,L2 Counter-Weight Assy,OHC12,2,NOT_STARTED,,,,
,L3,Stopper Block Cnabi,L2 Counter-Weight Assy,STBB-SU-A80-B24-T30-X15-F50-P85,1,NOT_STARTED,,,,
,L3,Washer M14,L2 Counter-Weight Assy,WSJ-ST3W-W14,2,NOT_STARTED,,,,
,L3,Spring Washer M14,L2 Counter-Weight Assy,WSPC-ST3W-W14,2,NOT_STARTED,,,,
,L3,CBE4-12,L2 Counter-Weight Assy,CBE4-12,8,NOT_STARTED,,,,
,L3,CBE5-10,L2 Counter-Weight Assy,CBE5-10,18,NOT_STARTED,,,,
,L3,CBE6-15,L2 Counter-Weight Assy,CBE6-15,2,NOT_STARTED,,,,
,L3,CBE8-20,L2 Counter-Weight Assy,CBE8-20,4,NOT_STARTED,,,,
,L3,CB14-30,L2 Counter-Weight Assy,CB14-30,2,NOT_STARTED,,,,
4,L2,L2 Gear Box Helical (AD0641),L2 Next Gen Assy,NXMA-0200073-0-0,1,NOT_STARTED,,,,
,L3,L2 Base Gearbox AD0641,L2 Gear Box Helical (AD0641),NXMP-0200026-0-1,1,NOT_STARTED,,,,
,L3,L2 ZSTP2-24 Pinion,L2 Gear Box Helical (AD0641),NXMP-0200011-0-0,1,NOT_STARTED,,,,
,L3,Maxon Motor,L2 Gear Box Helical (AD0641),IDX70L,1,NOT_STARTED,,,,
,L3,AD Gearbox 7:1,L2 Gear Box Helical (AD0641),???,1,NOT_STARTED,,,,
,L3,Stopper Block,L2 Gear Box Helical (AD0641),SBHHM-30-10-10,1,NOT_STARTED,,,,
,L3,Dowel Pin,L2 Gear Box Helical (AD0641),MSHSM5-10,1,NOT_STARTED,,,,
,L3,CBE4-10,L2 Gear Box Helical (AD0641),CBE4-10,10,NOT_STARTED,,,,
,L3,CBE5-20,L2 Gear Box Helical (AD0641),CBE5-20,4,NOT_STARTED,,,,
,L3,CBE5-40,L2 Gear Box Helical (AD0641),CBE5-40,7,NOT_STARTED,,,,
,L3,Hex Socket+SW+FW M6x20,L2 Gear Box Helical (AD0641),CBST6-20,4,NOT_STARTED,,,,
5,L2,L2 Gear Box THK,L2 Next Gen Assy,NXMA-0200074-0-0,1,NOT_STARTED,,,,
,L3,L2 Joint Gear BOX,L2 Gear Box THK,NXMP-0200035-0-1,1,NOT_STARTED,,,,
,L3,L2 Motor Adapter,L2 Gear Box THK,NXMP-0200079-0-0,1,NOT_STARTED,,,,
,L3,Gearbox 6:1,L2 Gear Box THK,ABR060,1,NOT_STARTED,,,,
,L3,Maxon Motor,L2 Gear Box THK,IDX70L,1,NOT_STARTED,,,,
,L3,Oldham Coupling,L2 Gear Box THK,MCOGWK38-16-20,1,NOT_STARTED,,,,
,L3,L2 Joint Jig,L2 Gear Box THK,NXMP-0200081-0-0,1,NOT_STARTED,,,,
,L3,CBE5-15,L2 Gear Box THK,CBE5-15,8,NOT_STARTED,,,,
,L3,CBE5-20,L2 Gear Box THK,CBE5-20,4,NOT_STARTED,,,,
,L3,CBE8-20,L2 Gear Box THK,CBE8-20,4,NOT_STARTED,,,,
6,L2,L2 Damper Assy,L2 Next Gen Assy,NXMA-0200075-0-0,1,NOT_STARTED,,,,
,L3,L2 Fall Damper Bracket,L2 Damper Assy,NXMP-0200028-0-0,1,NOT_STARTED,,,,
,L3,Urethane Bumper,L2 Damper Assy,AZXL60-94-M12-20,2,NOT_STARTED,,,,
,L3,CBE12-40,L2 Damper Assy,CBE12-40,2,NOT_STARTED,,,,
7,L2,L2 Counter Cover Assy,L2 Next Gen Assy,NXMA-0200076-0-1,1,NOT_STARTED,,,,
,L3,L2 Cover Bottom Right,L2 Counter Cover Assy,NXMP-0200038-0-1,1,NOT_STARTED,,,,
,L3,L2 Cover Bottom Left,L2 Counter Cover Assy,NXMP-0200039-0-1,1,NOT_STARTED,,,,
,L3,L2 Cover Top Right,L2 Counter Cover Assy,NXMP-0200040-0-1,1,NOT_STARTED,,,,
,L3,L2 Cover Top Left,L2 Counter Cover Assy,NXMP-0200041-0-1,1,NOT_STARTED,,,,
,L3,L2 Cover Counter Weight,L2 Counter Cover Assy,NXMP-0200042-0-1,2,NOT_STARTED,,,,
,L3,L2 Cover Connecting Plate,L2 Counter Cover Assy,NXMP-0200060-0-0,2,NOT_STARTED,,,,
,L3,Punched Panel,L2 Counter Cover Assy,PMAFBHS-444-404-1.0-10-4.5,6,NOT_STARTED,,,,
,L3,Pan Head Screw+SW+FW M4x8,L2 Counter Cover Assy,NSET4-8,44,NOT_STARTED,,,,
,L3,CBE5-10,L2 Counter Cover Assy,CBE5-10,8,NOT_STARTED,,,,
,L3,Lobster Blind Rivet,L2 Counter Cover Assy,NSA530BP,36,NOT_STARTED,,,,
