seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L1,Safety Net,,NXMA-0800100-0-0,1,NOT_STARTED,,,,
1,L2,SignalTowerASSY,Safety Net,NXMA-0800046-0-0,4,NOT_STARTED,CBE6-10,4,,
2,L2,FrameASSY,Safety Net,NXMA-0800060-0-0,1,NOT_STARTED,,,,
,L3,HFCQPACK-S,FrameASSY,HFCQPACK-S,1,NOT_STARTED,,,,
,L3,HSCLS6-B-SET5,FrameASSY,HSCLS6-B-SET5,2,NOT_STARTED,,,,
,L3,NCSSES-6-1,FrameASSY,NCSSES-6-1,1,NOT_STARTED,,,,
,L3,14000 (verify),FrameASSY,14000,1,NOT_STARTED,,,,
3,L2,ArmConnectingUnit,Safety Net,NXMA-0800106-0-0,2,NOT_STARTED,CBE6-15,4,,
4,L2,E-StopSwitchASSY,Safety Net,NXMA-0800120-0-0,2,NOT_STARTED,CBE6-12,4,,
5,L2,InterlockButtonASSY(Y),Safety Net,NXMA-0800121-0-0,2,NOT_STARTED,CBE6-12,2,,
6,L2,InterlockButtonASSY(S),Safety Net,NXMA-0800122-0-0,2,NOT_STARTED,CBE6-12,2,,
7,L2,E-StopSwitchASSY_Inside,Safety Net,NXMA-0800114-0-0,2,NOT_STARTED,CBE6-12,3,,
8,L2,AreaSensorASSY,Safety Net,NXMA-0800126-0-0,2,NOT_STARTED,CBE6-10,4,,
9,L2,TankEnclosureBRKTASSY,Safety Net,NXMA-0800131-0-0,1,NOT_STARTED,,,,
10,L2,HumanDetectionCameraASSY,Safety Net,NXMA-0800132-0-0,2,NOT_STARTED,CBE6-10,2,,
11,L2,TopCameraASSY,Safety Net,NXMA-0800153-0-0,4,NOT_STARTED,CBE6-15,3,,
12,L2,AreaSensorASSY_NonEnclosureSide,Safety Net,NXMA-0800155-0-0,1,NOT_STARTED,CBE6-10,4,,
13,L2,CornerProtectors,Safety Net,,1,NOT_STARTED,,,,
,L3,CornerProtector A,CornerProtectors,NXMP-0800082-0-0,1,NOT_STARTED,CBE6-15,2,,
,L3,CornerProtector B,CornerProtectors,NXMP-0800094-0-0,1,NOT_STARTED,CBE6-15,2,,
,L3,KNCL86-B-10,CornerProtectors,KNCL86-B-10,4,NOT_STARTED,,,,
